Wavelength,emission
400,0.0
401,0.08
402,0.16
403,0.24
404,0.32
405,0.4
406,0.48
407,0.56
408,0.64
409,0.72
410,0.8
411,0.88
412,0.96
413,1.04
414,1.12
415,1.2
416,1.28
417,1.36
418,1.44
419,1.52
420,1.6
421,1.68
422,1.76
423,1.84
424,1.92
425,2.0
426,2.08
427,2.16
428,2.24
429,2.32
430,2.4
431,2.48
432,2.56
433,2.64
434,2.72
435,2.8000000000000003
436,2.88
437,2.96
438,3.04
439,3.12
440,3.2
441,3.2800000000000002
442,3.36
443,3.44
444,3.52
445,3.6
446,3.68
447,3.7600000000000002
448,3.84
449,3.92
450,4.0
451,4.08
452,4.16
453,4.24
454,4.32
455,4.4
456,4.48
457,4.5600000000000005
458,4.64
459,4.72
460,4.8
461,4.88
462,4.96
463,5.04
464,5.12
465,5.2
466,5.28
467,5.36
468,5.44
469,5.5200000000000005
470,5.6000000000000005
471,5.68
472,5.76
473,5.84
474,5.92
475,6.0
476,6.08
477,6.16
478,6.24
479,6.32
480,6.4
481,6.48
482,6.5600000000000005
483,6.640000000000001
484,6.72
485,6.8
486,6.88
487,6.96
488,7.04
489,7.12
490,7.2
491,7.28
492,7.36
493,7.44
494,7.5200000000000005
495,7.6000000000000005
496,7.68
497,7.76
498,7.84
499,7.92
500,8.0
501,8.076
502,8.152
503,8.228
504,8.304
505,8.38
506,8.456
507,8.532
508,8.608
509,8.684
510,8.76
511,8.836
512,8.911999999999999
513,8.988
514,9.064
515,9.14
516,9.216
517,9.292
518,9.368
519,9.443999999999999
520,9.52
521,9.596
522,9.672
523,9.748
524,9.824
525,9.9
526,9.975999999999999
527,10.052
528,10.128
529,10.204
530,10.28
531,10.356
532,10.432
533,10.508
534,10.584
535,10.66
536,10.736
537,10.812
538,10.888
539,10.964
540,11.04
541,11.116
542,11.192
543,11.268
544,11.344
545,11.42
546,11.496
547,11.572
548,11.648
549,11.724
550,11.8
551,11.876
552,11.952
553,12.027999999999999
554,12.104
555,12.18
556,12.256
557,12.332
558,12.408
559,12.484
560,12.559999999999999
561,12.636
562,12.712
563,12.788
564,12.864
565,12.94
566,13.016
567,13.091999999999999
568,13.168
569,13.244
570,13.32
571,13.396
572,13.472
573,13.548
574,13.623999999999999
575,13.7
576,13.776
577,13.852
578,13.928
579,14.004
580,14.08
581,14.155999999999999
582,14.232
583,14.308
584,14.384
585,14.46
586,14.536
587,14.612
588,14.687999999999999
589,14.764
590,14.84
591,14.916
592,14.992
593,15.068
594,15.144
595,15.219999999999999
596,15.296
597,15.372
598,15.448
599,15.524000000000001
600,15.6
601,15.628
602,15.655999999999999
603,15.684
604,15.712
605,15.74
606,15.767999999999999
607,15.796
608,15.824
609,15.852
610,15.879999999999999
611,15.908
612,15.936
613,15.963999999999999
614,15.991999999999999
615,16.02
616,16.048
617,16.076
618,16.104
619,16.131999999999998
620,16.16
621,16.188
622,16.216
623,16.244
624,16.272
625,16.3
626,16.328
627,16.355999999999998
628,16.384
629,16.412
630,16.439999999999998
631,16.468
632,16.496
633,16.524
634,16.552
635,16.58
636,16.608
637,16.636
638,16.663999999999998
639,16.692
640,16.72
641,16.747999999999998
642,16.776
643,16.804
644,16.832
645,16.86
646,16.887999999999998
647,16.916
648,16.944
649,16.971999999999998
650,17.0
651,17.028
652,17.055999999999997
653,17.084
654,17.112
655,17.14
656,17.168
657,17.195999999999998
658,17.224
659,17.252
660,17.279999999999998
661,17.308
662,17.336
663,17.363999999999997
664,17.392
665,17.419999999999998
666,17.448
667,17.476
668,17.503999999999998
669,17.532
670,17.56
671,17.587999999999997
672,17.616
673,17.644
674,17.671999999999997
675,17.7
676,17.727999999999998
677,17.756
678,17.784
679,17.811999999999998
680,17.84
681,17.868
682,17.896
683,17.924
684,17.951999999999998
685,17.979999999999997
686,18.008
687,18.035999999999998
688,18.064
689,18.092
690,18.119999999999997
691,18.148
692,18.176
693,18.204
694,18.232
695,18.259999999999998
696,18.287999999999997
697,18.316
698,18.343999999999998
699,18.372
700,18.4
