Wavelength,white,green,red
400,0.343,0.092,0.04
401,0.36850000000000005,0.093,0.0415
402,0.394,0.094,0.043
403,0.4195,0.095,0.0445
404,0.445,0.096,0.046
405,0.47150000000000003,0.0965,0.0465
406,0.498,0.097,0.047
407,0.5245000000000001,0.0975,0.0475
408,0.551,0.098,0.048
409,0.56925,0.09775,0.04925
410,0.5875,0.0975,0.0505
411,0.60575,0.09725,0.05175
412,0.624,0.097,0.053
413,0.63425,0.09725,0.052
414,0.6445000000000001,0.0975,0.051000000000000004
415,0.65475,0.09775,0.05
416,0.665,0.098,0.049
417,0.6705000000000001,0.09725,0.04925
418,0.676,0.0965,0.0495
419,0.6815,0.09575,0.04975
420,0.687,0.095,0.05
421,0.69225,0.095,0.05075
422,0.6975,0.095,0.051500000000000004
423,0.70275,0.095,0.05225
424,0.708,0.095,0.053
425,0.71175,0.0955,0.0535
426,0.7155,0.096,0.054
427,0.71925,0.0965,0.0545
428,0.723,0.097,0.055
429,0.721,0.0965,0.0555
430,0.719,0.096,0.056
431,0.717,0.0955,0.0565
432,0.715,0.095,0.057
433,0.71375,0.09475,0.05675
434,0.7124999999999999,0.0945,0.0565
435,0.7112499999999999,0.09425,0.05625
436,0.71,0.094,0.056
437,0.71875,0.09475,0.05675
438,0.7275,0.0955,0.057499999999999996
439,0.73625,0.09625,0.058249999999999996
440,0.745,0.097,0.059
441,0.74825,0.09725,0.058499999999999996
442,0.7515000000000001,0.0975,0.057999999999999996
443,0.75475,0.09775,0.0575
444,0.758,0.098,0.057
445,0.75325,0.0975,0.058
446,0.7484999999999999,0.097,0.059
447,0.74375,0.0965,0.06
448,0.739,0.096,0.061
449,0.746,0.09725,0.061
450,0.753,0.0985,0.061
451,0.76,0.09975,0.061
452,0.767,0.101,0.061
453,0.7695000000000001,0.1015,0.06075
454,0.772,0.10200000000000001,0.0605
455,0.7745,0.1025,0.06025
456,0.777,0.103,0.06
457,0.774,0.10325,0.0605
458,0.771,0.1035,0.061
459,0.768,0.10375,0.0615
460,0.765,0.104,0.062
461,0.7615000000000001,0.10475,0.062
462,0.758,0.1055,0.062
463,0.7545,0.10625,0.062
464,0.751,0.107,0.062
465,0.7495,0.1075,0.062
466,0.748,0.108,0.062
467,0.7464999999999999,0.1085,0.062
468,0.745,0.109,0.062
469,0.74575,0.10975,0.06175
470,0.7464999999999999,0.1105,0.0615
471,0.74725,0.11125,0.06125
472,0.748,0.112,0.061
473,0.74325,0.11275,0.06125
474,0.7384999999999999,0.1135,0.0615
475,0.73375,0.11425,0.06175
476,0.729,0.115,0.062
477,0.733,0.11750000000000001,0.0615
478,0.737,0.12,0.061
479,0.741,0.1225,0.0605
480,0.745,0.125,0.06
481,0.748,0.12875,0.05975
482,0.751,0.1325,0.0595
483,0.754,0.13625,0.05925
484,0.757,0.14,0.059
485,0.756,0.14500000000000002,0.058499999999999996
486,0.755,0.15000000000000002,0.057999999999999996
487,0.754,0.155,0.0575
488,0.753,0.16,0.057
489,0.75225,0.16675,0.05725
490,0.7515000000000001,0.1735,0.0575
491,0.75075,0.18025,0.05775
492,0.75,0.187,0.058
493,0.749,0.1975,0.058
494,0.748,0.20800000000000002,0.058
495,0.747,0.2185,0.058
496,0.746,0.229,0.058
497,0.74625,0.243,0.058
498,0.7464999999999999,0.257,0.058
499,0.74675,0.27099999999999996,0.058
500,0.747,0.285,0.058
501,0.744,0.2995,0.0575
502,0.741,0.314,0.057
503,0.738,0.3285,0.0565
504,0.735,0.343,0.056
505,0.73425,0.35475,0.05575
506,0.7335,0.36650000000000005,0.0555
507,0.73275,0.37825000000000003,0.05525
508,0.732,0.39,0.055
509,0.73375,0.40125,0.05525
510,0.7355,0.4125,0.0555
511,0.73725,0.42375,0.05575
512,0.739,0.435,0.056
513,0.73775,0.44225000000000003,0.05675
514,0.7364999999999999,0.4495,0.057499999999999996
515,0.73525,0.45675,0.058249999999999996
516,0.734,0.464,0.059
517,0.73175,0.466,0.058499999999999996
